width (nm),angle ($\theta$)
15.756189216606069,22.358062888359765
16.461128528971926,24.261451738284016
12.763013364474299,26.825221949749015
13.508263294224557,28.907787229479887
15.04424778761062,32.44280253987584
14.269482740351416,30.770408178786578
15.04424778761062,32.44280253987584
14.269482740351416,30.770408178786578
15.04424778761062,32.44280253987584
15.830569752210902,33.950238298650824
